id,date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms,dagvandweek,mood_synthetic,circumplex.arousal_synthetic,circumplex.valence_synthetic,screen_synthetic,activity_synthetic,real_count
AS14.01,2014-02-17,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.2,0.75,7.0,12379.411000013357,0.0,Monday,0,0,0,0,0,5
AS14.01,2014-02-18,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2,0.75,7.0,12379.411000013357,0.0,Tuesday,0,0,0,0,0,5
AS14.01,2014-02-19,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-0.2,0.75,7.0,12379.411000013357,2.0,Wednesday,0,0,0,0,0,6
AS14.01,2014-02-20,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.2,0.75,7.0,12379.411000013357,3.0,Thursday,0,0,0,0,0,6
AS14.01,2014-02-21,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.75,7.0,12379.411000013357,1.0,Friday,0,0,0,0,0,5
AS14.01,2014-02-22,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.2,0.75,7.0,12379.411000013357,1.0,Saturday,0,0,0,0,0,6
AS14.01,2014-02-25,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.2,0.75,7.0,12379.411000013357,0.0,Tuesday,0,0,0,0,0,5
AS14.01,2014-02-26,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.25,0.75,6.25,12379.411000013357,2.0,Wednesday,0,0,0,0,0,6
AS14.01,2014-02-27,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,6.333333333333333,12379.411000013357,0.0,Thursday,0,0,0,0,0,4
AS14.01,2014-02-28,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3333333333333333,6.333333333333333,12379.411000013357,0.0,Friday,1,1,1,0,0,5
AS14.01,2014-03-01,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,6.333333333333333,12379.411000013357,1.0,Saturday,1,1,1,0,0,5
AS14.01,2014-03-03,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,6.333333333333333,12379.411000013357,0.0,Monday,1,1,1,0,0,5
AS14.01,2014-03-05,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2,0.75,7.0,12379.411000013357,0.0,Wednesday,1,1,1,0,0,5
AS14.01,2014-03-06,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2,0.75,7.0,12379.411000013357,0.0,Thursday,1,1,1,0,0,5
AS14.01,2014-03-07,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-0.2,0.75,7.0,12379.411000013357,0.0,Friday,1,1,1,0,0,5
AS14.01,2014-03-10,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2,0.75,7.0,12379.411000013357,0.0,Monday,1,1,1,0,0,5
AS14.01,2014-03-11,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.2,0.75,7.0,12379.411000013357,0.0,Tuesday,1,1,1,0,0,5
AS14.01,2014-03-12,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-0.2,0.75,7.0,12379.411000013357,1.0,Wednesday,1,1,1,0,0,6
AS14.01,2014-03-13,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-0.2,0.75,7.0,12379.411000013357,0.0,Thursday,1,1,1,0,0,5
AS14.01,2014-03-14,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.2,0.75,7.0,12379.411000013357,1.0,Friday,1,1,1,0,0,6
AS14.01,2014-03-15,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.75,7.0,12379.411000013357,1.0,Saturday,1,1,1,0,0,5
AS14.01,2014-03-16,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.75,7.0,12379.411000013357,3.0,Sunday,1,1,1,0,0,5
AS14.01,2014-03-17,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.75,7.0,12379.411000013357,1.0,Monday,1,1,1,0,0,5
AS14.01,2014-03-18,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2,0.75,7.0,12379.411000013357,2.0,Tuesday,1,1,1,0,0,6
AS14.01,2014-03-19,0.0838873144698841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2,0.75,7.0,12379.411000013357,0.0,Wednesday,1,1,1,0,0,5
AS14.01,2014-03-20,0.081547619047619,248.979,2168.229,350.856,0.0,0.0,0.0,11.345,807.731,0.0,45.173,21.074,0.0,1.0,-0.2,0.75,7.0,2275.9440002441406,0.0,Thursday,1,1,1,0,0,12
AS14.01,2014-03-21,0.1340501039893886,3139.218,6280.89,1007.456,49.544,0.0,172.20600000000002,239.751,4508.5,915.445,0.0,598.754,0.0,6.0,0.2,0.2,6.2,17978.907000064843,0.0,Friday,0,0,0,0,0,15
